Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
$UVXY Put the chum out there at key support then next level down - careful,negative,$uvxy SELL_SIGNAL chum key support next level NEGATIVE_MOVE - careful,74,69,0.06756756756756757
"The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority .",neutral,"transaction subject final agreement parties , approvals decision-making bodies approval finnish competition authority .",163,119,0.26993865030674846
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral,"amer sports divests industrial site rumilly , france - announcement distributed thomson reuters behalf thomson reuters clients .",152,128,0.15789473684210525
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,positive,finnish kci konecranes awarded order four hot metal ladle cranes indian steel producer bhushan steel & strips delivered 2007 .,154,126,0.18181818181818182
Sainsbury's says to outperform rivals in tough market,positive,sainsbury's says outperform rivals tough,53,40,0.24528301886792453
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,"scheme teliasonera altimo practically identical , except involves merger stakes vimpelcom kyivstar .",143,100,0.3006993006993007
"In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .",neutral,"q1 2009 , bank +àland 's net interest income weakened 10 % eur 9.1 mn .",86,71,0.1744186046511628
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",neutral,"finland , metal sector company componenta laying temporarily staff pori mill christmas 2008 till 6 january 2009 .",139,113,0.18705035971223022
AB InBev approaches SABMiller to explore $250bn tie-up,positive,ab inbev approaches sabmiller explore $250bn tie-POSITIVE_MOVE,54,62,-0.14814814814814814
Why not give your bedroom a cool makeover for summer .,neutral,give bedroom cool makeover summer .,54,35,0.35185185185185186
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive,$awr standard & poor's affirms 'a+' credit rating american states water company golden state water company,134,106,0.208955223880597
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"lember said matter topical also estonia , bill drafted social affairs ministry would scrap old-age pensions favorable conditions .",173,130,0.24855491329479767
"that was quick, out $FIO 21.35, market tanking, scaling down longs now",negative,"quick, $fio 21.35, tanking, scaling NEGATIVE_MOVE longs",70,55,0.21428571428571427
The electricity requirement of networks will grow with the new mobile generation .,neutral,electricity requirement networks grow new mobile generation .,82,61,0.25609756097560976
$FB popping up to HOD,positive,$fb popping POSITIVE_MOVE hod,21,29,-0.38095238095238093
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral,"operating profit six-month period decreased eur111 .9 , sales increased eur1 ,275 , compared corresponding period 2006 .",161,120,0.2546583850931677
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,"initial estimated total value contract 250 000 euros , excluding vat .",81,70,0.13580246913580246
He wore a black beanie-type cap and a black jacket .,neutral,wore black beanie-type cap black jacket .,52,41,0.21153846153846154
"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive,"beginning year , wartsila secured order deliver four gas-fuelled main engines propulsion machinery vessel .",149,107,0.28187919463087246
Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral,kershaw takes POSITIVE_MOVE position immediate effect previous role marketing manager sankey home & garden products .,130,117,0.1
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,negative,tesco criticised 'disgraceful' advert showing domestic worker slapped,79,69,0.12658227848101267
The MET is located in the Central Business District ( CBD ) of Bangkok .,neutral,met located central business district ( cbd ) bangkok .,72,55,0.2361111111111111
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",positive,"finnish forest machinery equipment maker ponsse oyj said october 5 , 2007 deliver total 67 cut-to-length method forest machines 44 harvester heads brazilian paper maker bahia pulp unnamed uruguayan wood harvesting contractors .",261,227,0.13026819923371646
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",neutral,"tampere science parks finnish company owns , leases builds office properties specialises facilities technology-oriented businesses .",160,132,0.175
`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',positive,`` purchase operations part yit 's strategy expand offering building system services geographically . '',131,104,0.20610687022900764
$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,negative,$endp sued ftc.....nobody BUY_SIGNAL hanging heads,83,50,0.39759036144578314
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,$fb big money pouring facebook directions;,78,42,0.46153846153846156
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,"revenue grew 2 percent x20ac 580 million $ 743 million , x20ac 569 million .",89,76,0.14606741573033707
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",neutral,"jeder beta-tester erh+ñlt kostenlos sechs monate lang updates und hat laut eigener aussage die m+âglichkeit , die finale version zu beeinflussen .",146,146,0.0
"However , the total orders received will still be above last year s levels .",positive,"however , total orders received still last year levels .",76,56,0.2631578947368421
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,contract signed august papua new guinea-based lihir gold ltd asx : lgl .,88,72,0.18181818181818182
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral,"divested company part tietoenator 's business area government , manufacturing & retail .",98,88,0.10204081632653061
"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",neutral,"operating income eur -24.9 mn , including eur 15.3 mn restructuring expenses .",85,78,0.08235294117647059
The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .,positive,representative body swedish meats approved improved offer finnish hk ruokatalo acquire company .,118,96,0.1864406779661017
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive,scania morgan stanley lifted target swedish heavy-duty truck bus maker scania ab 330 crowns ( $ 42.4 - 35.2 euro ) 310 crowns ( $ 39.8 - 33.1 euro ) .,175,150,0.14285714285714285
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral,"cooperation involve arena partners buying 35 % new joint venture company , operating alma media 's home sales , vehicle consumer advertising marketplace businesses .",196,165,0.15816326530612246
The combined value of the planned investments is about EUR 30mn .,neutral,combined value planned investments eur 30mn .,65,45,0.3076923076923077
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,diluted earnings per ( eps ) fell eur 0.63 eur 1.71 .,67,53,0.208955223880597
The turbines are expected to be launched by the end of 2012 .,neutral,turbines expected launched end 2012 .,61,37,0.39344262295081966
"For 2009 , Incap expects revenue of some EUR 70 million .",neutral,"2009 , incap expects revenue eur 70 million .",57,45,0.21052631578947367
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral,construction scheduled start april-june 2007 completed early 2008 .,89,67,0.24719101123595505
Auto Trader share price surges as company floats on LSE,positive,auto trader surges company floats lse,55,37,0.32727272727272727
BM4 middle layer headbox will be equipped with a dilution control system .,neutral,bm4 middle layer headbox equipped dilution control system .,74,59,0.20270270270270271
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",negative,"finland , sampo bank , part danske bank group , lay staff administrative support functions .",128,92,0.28125
